mh_2;mh_1;d;err;phhinit;md_0;md_1;pdhinit;time;vh_1;vd_1;vd_0;rdd;pdh;rhd;rhh;f_1;f_0;phh;vh_2;file
1.275;0.75;1;0.02;0.6;0.875;1;0.1;1602;1.09032;0.942933;1.01331;0;0.224159;0;0;0.524441;0.339334;0.65938;0.855766;iters//iter_freqdep_18_8_2017_214737_630775478
1.275;0.75;0.5;0.02;0.7;0.875;1;0.2;11590;1.08202;0.938044;1.0187;0.132996;0.999044;0.342363;0.130125;0.644817;0.183905;0.0001;0.936741;iters//iter_freqdep_18_8_2017_214754_348580284
1.275;0.75;0.1;0.02;0.6;0.875;1;0.6;119166;1.07634;0.932294;1.00715;0.541153;0.999944;0.629985;0.540034;0.695786;0.157155;0.00640419;0.990671;iters//iter_freqdep_18_8_2017_214840_118641087
1.275;0.75;0.5;0.02;0.4;0.875;1;0.2;10320;1.07309;0.930303;1.01029;0.132995;0.999047;0.342363;0.130125;0.644817;0.183904;0.0001;0.929009;iters//iter_freqdep_18_8_2017_214750_858616298
1.275;0.75;0.5;0.02;0.2;0.875;1;0.4;8682;1.07476;0.931749;1.01186;0.132998;0.999038;0.342362;0.130125;0.644816;0.183907;0.0001;0.930454;iters//iter_freqdep_18_8_2017_214815_16148973
1.275;0.75;0.5;0.02;0.9;0.875;1;0.4;10582;1.15525;1.00153;1.08764;0.132997;0.99904;0.342362;0.130125;0.644817;0.183907;0.0001;1.00014;iters//iter_freqdep_18_8_2017_214822_332630295
1.275;0.75;0.1;0.02;0.5;0.875;1;0.99;114023;1.07744;0.933247;1.00818;0.541153;0.999944;0.629984;0.540034;0.695785;0.157155;0.00640743;0.991683;iters//iter_freqdep_18_8_2017_214919_399957667
1.275;0.75;0.5;0.02;0.3;0.875;1;0.7;7072;1.08572;0.941257;1.02219;0.132998;0.999035;0.342362;0.130125;0.644816;0.183908;0.0001;0.939949;iters//iter_freqdep_18_8_2017_214848_575010463
1.275;0.75;0.5;0.02;0.2;0.875;1;0.5;8174;1.07704;0.933725;1.01401;0.132997;0.999039;0.342363;0.130125;0.644817;0.183907;0.0001;0.932427;iters//iter_freqdep_18_8_2017_214826_291598251
1.275;0.75;1;0.02;0.5;0.875;1;0.01;2226;1.11804;0.966907;1.03907;0;0.270315;0;0;0.524439;0.339341;0.590274;0.877523;iters//iter_freqdep_18_8_2017_214722_114178333
1.275;0.75;0.5;0.02;0.6;0.875;1;0.3;10807;1.08333;0.939178;1.01993;0.133001;0.999027;0.342362;0.130124;0.644816;0.18391;0.0001;0.937873;iters//iter_freqdep_18_8_2017_214807_420257770
1.275;0.75;0.1;0.02;0.9;0.875;1;0.1;126284;1.07559;0.931641;1.00644;0.541153;0.999944;0.629984;0.540034;0.695785;0.157155;0.00640785;0.989977;iters//iter_freqdep_18_8_2017_214740_193492196
1.275;0.75;0.5;0.02;0.6;0.875;1;0.99;4206;1.11303;0.964927;1.04789;0.132998;0.999036;0.342362;0.130125;0.644816;0.183908;0.0001;0.963586;iters//iter_freqdep_18_8_2017_214921_49836347
1.275;0.75;0.1;0.02;0.9;0.875;1;0.99;118369;1.09013;0.944243;1.02006;0.541156;0.999944;0.629988;0.540033;0.695788;0.15716;0.00637791;1.00337;iters//iter_freqdep_18_8_2017_214923_282492352
1.275;0.75;0.5;0.02;0.7;0.875;1;0.4;10588;1.09989;0.953535;1.03552;0.132997;0.999039;0.342362;0.130125;0.644817;0.183907;0.0001;0.95221;iters//iter_freqdep_18_8_2017_214819_975045686
1.275;0.75;0.5;0.02;0.8;0.875;1;0.8;7813;1.13752;0.986165;1.07096;0.132995;0.999047;0.342363;0.130125;0.644817;0.183905;0.0001;0.984794;iters//iter_freqdep_18_8_2017_214903_742261962
1.275;0.75;0.1;0.02;0.99;0.875;1;0.8;118721;1.09918;0.952077;1.02852;0.541157;0.999945;0.629989;0.540032;0.695789;0.157162;0.00636561;1.01169;iters//iter_freqdep_18_8_2017_214905_127369883
1.275;0.75;0.1;0.02;0.3;0.875;1;0.4;113834;1.07165;0.928234;1.00276;0.541152;0.999944;0.629983;0.540034;0.695784;0.157153;0.00641831;0.986356;iters//iter_freqdep_18_8_2017_214815_193456666
1.275;0.75;0.1;0.02;0.01;0.875;1;0.1;94322;1.07155;0.928145;1.00267;0.541152;0.999944;0.629984;0.540034;0.695785;0.157154;0.00641301;0.986263;iters//iter_freqdep_18_8_2017_214729_419026076
1.275;0.75;0.5;0.02;0.1;0.875;1;0.6;7202;1.07734;0.933986;1.01429;0.132999;0.999033;0.342362;0.130125;0.644816;0.183908;0.0001;0.932688;iters//iter_freqdep_18_8_2017_214836_413499952
1.275;0.75;1;0.02;0.3;0.875;1;0.3;4426;1.08795;0.940886;1.01111;0;0.419709;0;0;0.524432;0.339358;0.366583;0.853906;iters//iter_freqdep_18_8_2017_214804_212800135
1.275;0.75;0.1;0.02;0.6;0.875;1;0.2;123250;1.07079;0.927484;1.00195;0.541152;0.999944;0.629983;0.540034;0.695785;0.157153;0.00641619;0.98556;iters//iter_freqdep_18_8_2017_214752_299608094
1.275;0.75;0.1;0.02;0.3;0.875;1;0.01;116915;1.0718;0.928362;1.0029;0.541152;0.999944;0.629983;0.540034;0.695785;0.157153;0.00641757;0.986493;iters//iter_freqdep_18_8_2017_214718_327411597
1.275;0.75;1;0.02;0.99;0.875;1;0.3;740;1.45363;1.25717;1.351;0;0.151472;0;0;0.524436;0.339353;0.76813;1.14092;iters//iter_freqdep_18_8_2017_214812_343656432
1.275;0.75;0.1;0.02;0.3;0.875;1;0.7;109344;1.07353;0.929864;1.00452;0.541152;0.999944;0.629984;0.540034;0.695785;0.157154;0.00641185;0.988089;iters//iter_freqdep_18_8_2017_214847_862043628
1.275;0.75;0.5;0.02;0.3;0.875;1;0.99;1987;1.09271;0.947311;1.02876;0.132996;0.999043;0.342363;0.130125;0.644817;0.183906;0.0001;0.945994;iters//iter_freqdep_18_8_2017_214918_401605652
1.275;0.75;0.5;0.02;0.5;0.875;1;0.8;6902;1.09921;0.952949;1.03488;0.132997;0.99904;0.342363;0.130125;0.644817;0.183906;0.0001;0.951624;iters//iter_freqdep_18_8_2017_214900_734953143
1.275;0.75;0.1;0.02;0.5;0.875;1;0.6;117371;1.07464;0.930823;1.00556;0.541153;0.999944;0.629984;0.540034;0.695785;0.157154;0.0064086;0.989108;iters//iter_freqdep_18_8_2017_214839_156594360
1.275;0.75;0.1;0.02;0.3;0.875;1;0.1;116696;1.0708;0.927497;1.00197;0.541152;0.999944;0.629983;0.540034;0.695785;0.157153;0.00641421;0.985574;iters//iter_freqdep_18_8_2017_214732_872136831
1.275;0.75;0.5;0.02;0.3;0.875;1;0.3;9518;1.07397;0.931068;1.01112;0.133;0.999028;0.342362;0.130124;0.644816;0.18391;0.0001;0.929774;iters//iter_freqdep_18_8_2017_214804_50436732
1.275;0.75;0.1;0.02;0.6;0.875;1;0.99;116082;1.07919;0.934766;1.00982;0.541154;0.999944;0.629985;0.540033;0.695786;0.157156;0.00639884;0.993298;iters//iter_freqdep_18_8_2017_214920_299815652
1.275;0.75;1;0.02;0.5;0.875;1;0.9;8295;1.14526;0.990474;1.0644;0;0.565032;0;0;0.524454;0.339307;0.149122;0.898884;iters//iter_freqdep_18_8_2017_214910_609219230
1.275;0.75;1;0.02;0.8;0.875;1;0.01;458;1.15413;0.998116;1.07261;0;0.104476;0;0;0.524446;0.339322;0.838558;0.905848;iters//iter_freqdep_18_8_2017_214726_246288939
1.275;0.75;0.1;0.02;0.2;0.875;1;0.2;111379;1.07088;0.927561;1.00204;0.541152;0.999944;0.629983;0.540034;0.695784;0.157153;0.00641823;0.985642;iters//iter_freqdep_18_8_2017_214747_780084015
1.275;0.75;1;0.02;0.6;0.875;1;0.3;1854;1.10169;0.952801;1.02391;0;0.275383;0;0;0.524439;0.339345;0.582633;0.86469;iters//iter_freqdep_18_8_2017_214807_564439370
1.275;0.75;0.5;0.02;0.9;0.875;1;0.2;11753;1.12911;0.978873;1.06304;0.132999;0.999034;0.342362;0.130125;0.644816;0.183908;0.0001;0.977512;iters//iter_freqdep_18_8_2017_214756_627030380
1.275;0.75;0.1;0.02;0.5;0.875;1;0.5;118551;1.07369;0.929995;1.00467;0.541152;0.999944;0.629983;0.540034;0.695785;0.157154;0.00641331;0.988228;iters//iter_freqdep_18_8_2017_214828_286506090
1.275;0.75;0.1;0.02;0.99;0.875;1;0.1;122870;1.11619;0.966816;1.04444;0.541161;0.999945;0.629993;0.54003;0.695792;0.157168;0.00633033;1.02735;iters//iter_freqdep_18_8_2017_214741_457360662
1.275;0.75;0.1;0.02;0.01;0.875;1;0.6;74223;1.07194;0.928481;1.00303;0.541152;0.999944;0.629983;0.540034;0.695785;0.157153;0.00641487;0.986619;iters//iter_freqdep_18_8_2017_214835_91736693
1.275;0.75;0.1;0.02;0.8;0.875;1;0.6;120955;1.08306;0.938111;1.01343;0.541155;0.999944;0.629986;0.540033;0.695787;0.157158;0.00639037;0.996853;iters//iter_freqdep_18_8_2017_214842_182057100
1.275;0.75;0.5;0.02;0.4;0.875;1;0.5;9005;1.08324;0.939107;1.01985;0.132996;0.999043;0.342363;0.130125;0.644817;0.183906;0.0001;0.937802;iters//iter_freqdep_18_8_2017_214828_129903292
1.275;0.75;1;0.02;0.2;0.875;1;0.4;5604;1.09031;0.94293;1.01331;0;0.493929;0;0;0.524428;0.339368;0.255435;0.85576;iters//iter_freqdep_18_8_2017_214815_141897022
1.275;0.75;0.5;0.02;0.4;0.875;1;0.6;8350;1.08686;0.942244;1.02326;0.132996;0.999045;0.342363;0.130125;0.644817;0.183905;0.0001;0.940934;iters//iter_freqdep_18_8_2017_214838_979309531
1.275;0.75;1;0.02;0.9;0.875;1;0.5;2219;1.23932;1.07183;1.15183;0;0.270151;0;0;0.52444;0.339344;0.590467;0.972714;iters//iter_freqdep_18_8_2017_214833_722770456
1.275;0.75;1;0.02;0.1;0.875;1;0.4;6924;1.08809;0.941012;1.01124;0;0.543808;0;0;0.524425;0.339376;0.180729;0.854018;iters//iter_freqdep_18_8_2017_214814_147225455
1.275;0.75;1;0.02;0.3;0.875;1;0.8;8424;1.11908;0.967833;1.04007;0;0.586891;0;0;0.524456;0.339303;0.116415;0.878336;iters//iter_freqdep_18_8_2017_214859_24841957
1.275;0.75;1;0.02;0.7;0.875;1;0.4;2263;1.12999;0.977274;1.05021;0;0.273339;0;0;0.52444;0.339345;0.585693;0.8869;iters//iter_freqdep_18_8_2017_214820_146456685
1.275;0.75;0.5;0.02;0.4;0.875;1;0.3;9978;1.07563;0.932508;1.01269;0.132996;0.999044;0.342363;0.130125;0.644817;0.183905;0.0001;0.931212;iters//iter_freqdep_18_8_2017_214805_172456115
1.275;0.75;0.5;0.02;0.7;0.875;1;0.8;7625;1.11988;0.970869;1.05434;0.132995;0.999048;0.342363;0.130125;0.644817;0.183904;0.0001;0.969519;iters//iter_freqdep_18_8_2017_214902_690143095
1.275;0.75;0.5;0.02;0.7;0.875;1;0.1;11956;1.07421;0.931279;1.01135;0.132998;0.999037;0.342362;0.130125;0.644816;0.183907;0.0001;0.929985;iters//iter_freqdep_18_8_2017_214738_671224375
1.275;0.75;0.5;0.02;0.01;0.875;1;0.01;9026;1.07702;0.93371;1.01399;0.133001;0.999026;0.342362;0.130124;0.644815;0.18391;0.0001;0.932412;iters//iter_freqdep_18_8_2017_214715_579072950
1.275;0.75;1;0.02;0.5;0.875;1;0.8;7056;1.13833;0.98448;1.05796;0;0.518138;0;0;0.524451;0.339315;0.219295;0.893443;iters//iter_freqdep_18_8_2017_214900_839335315
1.275;0.75;1;0.02;0.8;0.875;1;0.99;7790;1.21695;1.05247;1.13102;0;0.547515;0;0;0.524452;0.339312;0.17533;0.955149;iters//iter_freqdep_18_8_2017_214923_163608770
1.275;0.75;0.1;0.02;0.4;0.875;1;0.2;119204;1.07058;0.927303;1.00176;0.541152;0.999944;0.629983;0.540034;0.695784;0.157153;0.00641905;0.985367;iters//iter_freqdep_18_8_2017_214749_995750469
1.275;0.75;1;0.02;0.4;0.875;1;0.7;6552;1.12041;0.968981;1.0413;0;0.508418;0;0;0.524451;0.339316;0.233842;0.879377;iters//iter_freqdep_18_8_2017_214849_617222082
1.275;0.75;0.1;0.02;0.2;0.875;1;0.7;102996;1.07298;0.929383;1.004;0.541153;0.999944;0.629984;0.540034;0.695785;0.157154;0.00640974;0.987578;iters//iter_freqdep_18_8_2017_214847_10955449
1.275;0.75;0.1;0.02;0.8;0.875;1;0.4;123136;1.0803;0.935723;1.01085;0.541154;0.999944;0.629986;0.540033;0.695787;0.157157;0.00639426;0.994314;iters//iter_freqdep_18_8_2017_214820_232447424
1.275;0.75;1;0.02;0.99;0.875;1;0.9;5825;1.33312;1.15295;1.239;0;0.483646;0;0;0.524449;0.339322;0.270907;1.04633;iters//iter_freqdep_18_8_2017_214915_924638522
1.275;0.75;0.5;0.02;0.01;0.875;1;0.8;4956;1.07954;0.935894;1.01636;0.132996;0.999042;0.342363;0.130125;0.644817;0.183906;0.0001;0.934593;iters//iter_freqdep_18_8_2017_214856_559456088
1.275;0.75;0.1;0.02;0.8;0.875;1;0.01;126915;1.06513;0.922581;0.996657;0.541151;0.999943;0.629982;0.540035;0.695784;0.157151;0.0064286;0.98035;iters//iter_freqdep_18_8_2017_214724_955811009
1.275;0.75;0.5;0.02;0.8;0.875;1;0.9;6607;1.13949;0.987869;1.07281;0.132998;0.999037;0.342362;0.130125;0.644816;0.183908;0.0001;0.986496;iters//iter_freqdep_18_8_2017_214913_516006138
1.275;0.75;0.1;0.02;0.9;0.875;1;0.6;120975;1.09021;0.944307;1.02013;0.541156;0.999944;0.629988;0.540032;0.695788;0.15716;0.00637672;1.00344;iters//iter_freqdep_18_8_2017_214843_304225813
1.275;0.75;0.5;0.02;0.8;0.875;1;0.99;5087;1.14082;0.98902;1.07406;0.133001;0.999028;0.342362;0.130124;0.644815;0.18391;0.0001;0.987646;iters//iter_freqdep_18_8_2017_214923_52330028
1.275;0.75;0.1;0.02;0.6;0.875;1;0.5;120336;1.07515;0.931264;1.00604;0.541153;0.999944;0.629984;0.540034;0.695786;0.157155;0.00640521;0.989576;iters//iter_freqdep_18_8_2017_214829_316928986
1.275;0.75;0.1;0.02;0.9;0.875;1;0.5;121935;1.08979;0.943944;1.01973;0.541156;0.999944;0.629987;0.540033;0.695788;0.157159;0.00638197;1.00305;iters//iter_freqdep_18_8_2017_214832_642966827
1.275;0.75;0.1;0.02;0.9;0.875;1;0.01;128093;1.0609;0.918916;0.992698;0.54115;0.999943;0.62998;0.540035;0.695783;0.157149;0.00643986;0.976456;iters//iter_freqdep_18_8_2017_214726_329377765
1.275;0.75;1;0.02;0.99;0.875;1;0.01;21;1.10876;0.958914;1.03048;0;0.00544566;0;0;0.524427;0.339378;0.986743;0.870235;iters//iter_freqdep_18_8_2017_214729_346911063
1.275;0.75;1;0.02;0.7;0.875;1;0.3;1636;1.11411;0.96354;1.03545;0;0.232744;0;0;0.524437;0.33935;0.646459;0.874436;iters//iter_freqdep_18_8_2017_214808_652789556
1.275;0.75;1;0.02;0.1;0.875;1;0.7;8049;1.10259;0.953565;1.02473;0;0.631019;0;0;0.524459;0.339295;0.0503908;0.865388;iters//iter_freqdep_18_8_2017_214846_967316958
1.275;0.75;1;0.02;0.8;0.875;1;0.4;1873;1.15968;1.00295;1.0778;0;0.241137;0;0;0.524438;0.339348;0.633897;0.910201;iters//iter_freqdep_18_8_2017_214821_300983830
1.275;0.75;0.5;0.02;0.01;0.875;1;0.5;7701;1.07413;0.931207;1.01127;0.133001;0.999025;0.342362;0.130124;0.644815;0.18391;0.0001;0.929913;iters//iter_freqdep_18_8_2017_214824_540052812
1.275;0.75;1;0.02;0.7;0.875;1;0.99;8291;1.18754;1.02704;1.10369;0;0.563162;0;0;0.524453;0.339309;0.151916;0.932066;iters//iter_freqdep_18_8_2017_214922_127210519
1.275;0.75;0.5;0.02;0.8;0.875;1;0.2;11825;1.09465;0.948992;1.03059;0.133;0.99903;0.342362;0.130125;0.644816;0.183909;0.0001;0.947673;iters//iter_freqdep_18_8_2017_214755_433847964
1.275;0.75;0.1;0.02;0.99;0.875;1;0.99;118189;1.09717;0.950339;1.02664;0.541158;0.999945;0.629989;0.540032;0.695789;0.157162;0.00636286;1.00985;iters//iter_freqdep_18_8_2017_214924_372394303
1.275;0.75;0.5;0.02;0.2;0.875;1;0.99;1270;1.08869;0.943862;1.02502;0.132708;0.999971;0.342348;0.130384;0.644845;0.183469;0.000843036;0.942504;iters//iter_freqdep_18_8_2017_214917_605781342
1.275;0.75;0.1;0.02;0.1;0.875;1;0.9;85609;1.07342;0.929768;1.00442;0.541152;0.999944;0.629983;0.540034;0.695785;0.157153;0.00641507;0.987987;iters//iter_freqdep_18_8_2017_214906_636600382
1.275;0.75;1;0.02;0.1;0.875;1;0.99;15944;1.11689;0.96594;1.03803;0;0.664652;0;0;0.524461;0.339289;6.91252e-05;0.876619;iters//iter_freqdep_18_8_2017_214916_888314826
1.275;0.75;0.5;0.02;0.6;0.875;1;0.1;11515;1.0734;0.930569;1.01058;0.133001;0.999025;0.342361;0.130124;0.644815;0.18391;0.0001;0.929276;iters//iter_freqdep_18_8_2017_214737_410511696
1.275;0.75;0.5;0.02;0.01;0.875;1;0.4;8167;1.07268;0.929952;1.00991;0.132997;0.999041;0.342363;0.130125;0.644817;0.183906;0.0001;0.928659;iters//iter_freqdep_18_8_2017_214813_91162568
1.275;0.75;1;0.02;0.1;0.875;1;0.9;14478;1.11258;0.962204;1.03402;0;0.664697;0;0;0.524461;0.339289;2.48933e-06;0.873228;iters//iter_freqdep_18_8_2017_214907_242532777
1.275;0.75;0.1;0.02;0.9;0.875;1;0.9;118593;1.09022;0.944321;1.02014;0.541156;0.999944;0.629988;0.540032;0.695788;0.15716;0.00637561;1.00345;iters//iter_freqdep_18_8_2017_214913_768134819
1.275;0.75;0.5;0.02;0.8;0.875;1;0.7;8728;1.13468;0.983696;1.06827;0.132997;0.999041;0.342363;0.130125;0.644817;0.183907;0.0001;0.982329;iters//iter_freqdep_18_8_2017_214853_580868047
1.275;0.75;1;0.02;0.9;0.875;1;0.3;998;1.19986;1.0377;1.11515;0;0.16588;0;0;0.524435;0.339356;0.746556;0.941742;iters//iter_freqdep_18_8_2017_214811_41805368
1.275;0.75;1;0.02;0.7;0.875;1;0.9;7099;1.18207;1.02231;1.09861;0;0.516172;0;0;0.524451;0.339316;0.222235;0.927778;iters//iter_freqdep_18_8_2017_214912_591373655
1.275;0.75;1;0.02;0.4;0.875;1;0.6;5458;1.11304;0.962611;1.03446;0;0.468368;0;0;0.524448;0.339322;0.293777;0.873595;iters//iter_freqdep_18_8_2017_214839_88684473
1.275;0.75;0.1;0.02;0.8;0.875;1;0.99;118101;1.08504;0.939827;1.01529;0.541155;0.999944;0.629986;0.540033;0.695787;0.157158;0.00638905;0.998675;iters//iter_freqdep_18_8_2017_214922_243363467
1.275;0.75;1;0.02;0.8;0.875;1;0.2;833;1.11444;0.963833;1.03577;0;0.154241;0;0;0.524434;0.339359;0.763978;0.8747;iters//iter_freqdep_18_8_2017_214755_638387423
1.275;0.75;0.1;0.02;0.99;0.875;1;0.01;123991;1.11259;0.963699;1.04107;0.54116;0.999945;0.629992;0.540031;0.695792;0.157167;0.00633843;1.02404;iters//iter_freqdep_18_8_2017_214727_709413779
1.275;0.75;0.5;0.02;0.1;0.875;1;0.7;6327;1.07947;0.93584;1.0163;0.132996;0.999042;0.342363;0.130125;0.644817;0.183906;0.0001;0.934539;iters//iter_freqdep_18_8_2017_214846_891104712
1.275;0.75;0.1;0.02;0.7;0.875;1;0.4;122506;1.07605;0.932047;1.00688;0.541153;0.999944;0.629984;0.540034;0.695785;0.157154;0.00640887;0.990409;iters//iter_freqdep_18_8_2017_214819_122595371
1.275;0.75;0.1;0.02;0.2;0.875;1;0.01;112490;1.07213;0.928647;1.00321;0.541152;0.999944;0.629983;0.540034;0.695785;0.157153;0.00641523;0.986796;iters//iter_freqdep_18_8_2017_214717_108247332
1.275;0.75;1;0.02;0.3;0.875;1;0.1;4182;1.08773;0.940694;1.0109;0;0.386448;0;0;0.524434;0.339354;0.416387;0.853733;iters//iter_freqdep_18_8_2017_214733_947272270
1.275;0.75;1;0.02;0.8;0.875;1;0.9;6608;1.21267;1.04878;1.12705;0;0.499053;0;0;0.52445;0.339318;0.247853;0.951794;iters//iter_freqdep_18_8_2017_214913_650021461
1.275;0.75;1;0.02;0.4;0.875;1;0.8;7723;1.12735;0.974981;1.04775;0;0.550929;0;0;0.524453;0.339309;0.170227;0.884823;iters//iter_freqdep_18_8_2017_214859_902624398
1.275;0.75;0.5;0.02;0.5;0.875;1;0.99;3554;1.10434;0.9574;1.03972;0.132995;0.999048;0.342363;0.130125;0.644817;0.183904;0.0001;0.956069;iters//iter_freqdep_18_8_2017_214920_122104387
1.275;0.75;0.5;0.02;0.7;0.875;1;0.3;11115;1.09176;0.94649;1.02787;0.132997;0.999042;0.342363;0.130125;0.644817;0.183906;0.0001;0.945174;iters//iter_freqdep_18_8_2017_214808_478225852
1.275;0.75;0.1;0.02;0.8;0.875;1;0.2;125197;1.07441;0.930627;1.00535;0.541153;0.999944;0.629984;0.540034;0.695786;0.157155;0.00640619;0.988899;iters//iter_freqdep_18_8_2017_214754_535002476
1.275;0.75;0.5;0.02;0.5;0.875;1;0.1;11042;1.07325;0.930444;1.01044;0.132996;0.999045;0.342363;0.130125;0.644817;0.183905;0.0001;0.929151;iters//iter_freqdep_18_8_2017_214736_175469352
1.275;0.75;0.5;0.02;0.9;0.875;1;0.8;7837;1.16522;1.01018;1.09703;0.132996;0.999044;0.342363;0.130125;0.644817;0.183906;0.0001;1.00877;iters//iter_freqdep_18_8_2017_214904_843856406
1.275;0.75;1;0.02;0.5;0.875;1;0.99;9515;1.15095;0.99539;1.06968;0;0.608411;0;0;0.524457;0.3393;0.0842121;0.903346;iters//iter_freqdep_18_8_2017_214920_197786128
1.275;0.75;0.5;0.02;0.8;0.875;1;0.5;10123;1.12529;0.975563;1.05944;0.132997;0.999041;0.342363;0.130125;0.644817;0.183906;0.0001;0.974206;iters//iter_freqdep_18_8_2017_214832_312636618
1.275;0.75;0.1;0.02;0.1;0.875;1;0.4;100543;1.07136;0.927981;1.00249;0.541152;0.999944;0.629983;0.540034;0.695785;0.157153;0.00641417;0.986088;iters//iter_freqdep_18_8_2017_214813_301845410
1.275;0.75;0.1;0.02;0.9;0.875;1;0.8;119152;1.09034;0.944418;1.02025;0.541156;0.999944;0.629988;0.540033;0.695788;0.15716;0.00637779;1.00355;iters//iter_freqdep_18_8_2017_214904_9030019
1.275;0.75;1;0.02;0.5;0.875;1;0.5;3958;1.11336;0.962893;1.03476;0;0.389815;0;0;0.524445;0.339332;0.411346;0.87385;iters//iter_freqdep_18_8_2017_214829_255250917
1.275;0.75;0.5;0.02;0.01;0.875;1;0.9;3088;1.08141;0.937519;1.01813;0.132999;0.999034;0.342362;0.130125;0.644816;0.183908;0.0001;0.936215;iters//iter_freqdep_18_8_2017_214906_531303283
1.275;0.75;0.1;0.02;0.4;0.875;1;0.8;112237;1.07501;0.931142;1.0059;0.541153;0.999944;0.629984;0.540034;0.695785;0.157154;0.00640958;0.989447;iters//iter_freqdep_18_8_2017_214859_99384986
1.275;0.75;0.1;0.02;0.7;0.875;1;0.5;121435;1.07769;0.933467;1.00842;0.541153;0.999944;0.629985;0.540034;0.695786;0.157155;0.00640317;0.991918;iters//iter_freqdep_18_8_2017_214830_368486284
1.275;0.75;0.1;0.02;0.1;0.875;1;0.1;105240;1.07138;0.927994;1.0025;0.541152;0.999944;0.629984;0.540034;0.695785;0.157154;0.00641278;0.986102;iters//iter_freqdep_18_8_2017_214730_552125425
1.275;0.75;0.1;0.02;0.5;0.875;1;0.7;116198;1.07553;0.931589;1.00639;0.541153;0.999944;0.629985;0.540034;0.695786;0.157155;0.00640463;0.989922;iters//iter_freqdep_18_8_2017_214849_689746307
1.275;0.75;1;0.02;0.1;0.875;1;0.1;6553;1.08508;0.938401;1.00844;0;0.496223;0;0;0.524428;0.339369;0.251997;0.851649;iters//iter_freqdep_18_8_2017_214731_549374016
1.275;0.75;1;0.02;0.1;0.875;1;0.6;3023;1.09746;0.94913;1.01997;0;0.598523;0;0;0.524457;0.339301;0.0990119;0.861362;iters//iter_freqdep_18_8_2017_214836_504634878
1.275;0.75;0.1;0.02;0.01;0.875;1;0.7;64831;1.0723;0.928797;1.00337;0.541153;0.999944;0.629984;0.540034;0.695785;0.157154;0.00641095;0.986955;iters//iter_freqdep_18_8_2017_214845_715210406
1.275;0.75;1;0.02;0.01;0.875;1;0.8;13743;1.10393;0.95473;1.02599;0;0.664655;0;0;0.524461;0.339289;6.56468e-05;0.866446;iters//iter_freqdep_18_8_2017_214856_617419187
1.275;0.75;0.5;0.02;0.01;0.875;1;0.2;8768;1.07158;0.928995;1.00887;0.132997;0.999041;0.342363;0.130125;0.644817;0.183906;0.0001;0.927704;iters//iter_freqdep_18_8_2017_214746_427616484
1.275;0.75;0.5;0.02;0.8;0.875;1;0.4;10716;1.11802;0.969253;1.05259;0.132995;0.999046;0.342363;0.130125;0.644817;0.183905;0.0001;0.967906;iters//iter_freqdep_18_8_2017_214821_98476729
1.275;0.75;0.1;0.02;0.9;0.875;1;0.4;122972;1.08874;0.943032;1.01875;0.541156;0.999944;0.629987;0.540033;0.695788;0.157159;0.00638058;1.00208;iters//iter_freqdep_18_8_2017_214821_398444698
1.275;0.75;0.5;0.02;0.3;0.875;1;0.4;9102;1.07651;0.933267;1.01351;0.133;0.999029;0.342362;0.130124;0.644816;0.183909;0.0001;0.93197;iters//iter_freqdep_18_8_2017_214815_982160654
1.275;0.75;0.5;0.02;0.1;0.875;1;0.01;9264;1.07761;0.934221;1.01455;0.133;0.999031;0.342362;0.130125;0.644816;0.183909;0.0001;0.932922;iters//iter_freqdep_18_8_2017_214716_767725696
1.275;0.75;0.5;0.02;0.6;0.875;1;0.5;9754;1.09533;0.949585;1.03123;0.132995;0.999047;0.342363;0.130125;0.644817;0.183904;0.0001;0.948265;iters//iter_freqdep_18_8_2017_214830_134423445
